experiment_idx,weights,weights_str,cv_score,test_roc_auc,test_accuracy,test_f1,test_precision,test_recall,threshold,train_pos_rate,test_pos_rate,weight_fare_efficiency,weight_time_efficiency,weight_distance_score,weight_time_premium,weight_rating_bonus,weight_wait_penalty,weight_duration_efficiency
150,"[0.11623597922440043, 0.14665217355546936, 0.051527110519925284, 0.13570898406324192, 0.05102985232308127, 0.33889928764624166, 0.15994661266764001]","0.116,0.147,0.052,0.136,0.051,0.339,0.160",0.789942605359001,0.7853261141345271,0.7126881720430107,0.7009178419520932,0.7261973791024006,0.6773391022174148,0.41941261001360386,0.5,0.4970430107526882,0.11623597922440043,0.14665217355546936,0.051527110519925284,0.13570898406324192,0.05102985232308127,0.33889928764624166,0.15994661266764001
151,"[0.1075983295331145, 0.20530437543223576, 0.031916612781532516, 0.03327881742101495, 0.3954386814509823, 0.11778484496801218, 0.1086783384131078]","0.108,0.205,0.032,0.033,0.395,0.118,0.109",0.9237814956931437,0.9269170160936638,0.8385483870967742,0.8358747335628791,0.8374767276311467,0.8342788566441196,0.5187098969582195,0.5,0.4927956989247312,0.1075983295331145,0.20530437543223576,0.031916612781532516,0.03327881742101495,0.3954386814509823,0.11778484496801218,0.1086783384131078
152,"[0.0025381577845141156, 0.07608508105303795, 0.3538588899664212, 0.25619010793422947, 0.07823731739927008, 0.1616747395931283, 0.07141570626939908]","0.003,0.076,0.354,0.256,0.078,0.162,0.071",0.9030316004740433,0.8991045121946608,0.8061290322580645,0.8046375555314769,0.7992681089226132,0.8100796334678739,0.48054497107895383,0.5,0.4928494623655914,0.0025381577845141156,0.07608508105303795,0.3538588899664212,0.25619010793422947,0.07823731739927008,0.1616747395931283,0.07141570626939908
153,"[0.10167895506172878, 0.07320440347725314, 0.04152835057310274, 0.1328717677615041, 0.1133848836235812, 0.5177446832085449, 0.01958695629428507]","0.102,0.073,0.042,0.133,0.113,0.518,0.020",0.704522535119667,0.6935329785130617,0.6362365591397849,0.6241111111111111,0.6404789053591791,0.6085590465872156,0.3897247302954868,0.5,0.4962365591397849,0.10167895506172878,0.07320440347725314,0.04152835057310274,0.1328717677615041,0.1133848836235812,0.5177446832085449,0.01958695629428507
154,"[0.07272250322800847, 0.17550186595646589, 0.0884764858921467, 0.32245982069135093, 0.05912298753423554, 0.020088128290935623, 0.26162820840685674]","0.073,0.176,0.088,0.322,0.059,0.020,0.262",0.8729882753786564,0.87004294164639,0.7803225806451612,0.7752475247524753,0.786144578313253,0.7646484375,0.4497704580916533,0.5,0.49548387096774194,0.07272250322800847,0.17550186595646589,0.0884764858921467,0.32245982069135093,0.05912298753423554,0.020088128290935623,0.26162820840685674
155,"[0.012217383740339092, 0.0963620959646343, 0.07199829977595563, 0.15900502578650913, 0.22433229692615556, 0.11066541790398633, 0.32541947990242004]","0.012,0.096,0.072,0.159,0.224,0.111,0.325",0.7512383078968667,0.7489204184527302,0.6794623655913978,0.6753077006861997,0.6797500274092753,0.670923060274862,0.462601112679,0.5,0.4968279569892473,0.012217383740339092,0.0963620959646343,0.07199829977595563,0.15900502578650913,0.22433229692615556,0.11066541790398633,0.32541947990242004
156,"[0.0176441329474291, 0.14613248215365468, 0.3260605265566787, 0.1778095947504189, 0.05805481195594108, 0.08551730503688705, 0.18878114659899048]","0.018,0.146,0.326,0.178,0.058,0.086,0.189",0.8769253128974448,0.8771146963559476,0.7995698924731183,0.7984211095490429,0.7935296646603611,0.803373231773667,0.4849399996417203,0.5,0.49408602150537634,0.0176441329474291,0.14613248215365468,0.3260605265566787,0.1778095947504189,0.05805481195594108,0.08551730503688705,0.18878114659899048
157,"[0.044952644489342775, 0.1397372992117004, 0.12653574836513407, 0.11967845619091981, 0.10386120910103058, 0.14925802721573503, 0.31597661542613736]","0.045,0.140,0.127,0.120,0.104,0.149,0.316",0.7485900212452308,0.7471708487093064,0.6821505376344086,0.6722838137472283,0.6834986474301172,0.6614310645724258,0.4507144374447373,0.5,0.49290322580645163,0.044952644489342775,0.1397372992117004,0.12653574836513407,0.11967845619091981,0.10386120910103058,0.14925802721573503,0.31597661542613736
158,"[0.0549604201175351, 0.33917531014954294, 0.0023752909192800297, 0.4783517333816178, 0.016636151135382148, 0.018784625400428096, 0.08971646889621386]","0.055,0.339,0.002,0.478,0.017,0.019,0.090",0.9571129501965545,0.9549416541813054,0.8780107526881721,0.8764901202982962,0.8736842105263158,0.8793141109654871,0.43333746449736144,0.5,0.492258064516129,0.0549604201175351,0.33917531014954294,0.0023752909192800297,0.4783517333816178,0.016636151135382148,0.018784625400428096,0.08971646889621386
159,"[0.05037534041016034, 0.0037323831754461755, 2.1533101258613136e-05, 0.10106343791683065, 0.5282810614683753, 0.03887696486483115, 0.27764927906309783]","0.050,0.004,0.000,0.101,0.528,0.039,0.278",0.8809164896230778,0.8800198238085134,0.7788172043010753,0.7807270013857798,0.7793147478186848,0.7821443827424178,0.5261617856908207,0.5,0.5034408602150537,0.05037534041016034,0.0037323831754461755,2.1533101258613136e-05,0.10106343791683065,0.5282810614683753,0.03887696486483115,0.27764927906309783
160,"[0.15493208006302323, 0.01954112407199143, 0.03063908042138217, 0.45459004669334224, 0.10831024991494093, 0.0648450661554789, 0.1671423526798411]","0.155,0.020,0.031,0.455,0.108,0.065,0.167",0.9691961932015263,0.9675591737485153,0.8955376344086021,0.8960684675046804,0.8854122621564482,0.9069842988630211,0.4395518672461636,0.5,0.49650537634408604,0.15493208006302323,0.01954112407199143,0.03063908042138217,0.45459004669334224,0.10831024991494093,0.0648450661554789,0.1671423526798411
161,"[0.017823420013868052, 0.25306545834896155, 0.22349140494353895, 0.07407836147170986, 0.05946983354936296, 0.13463898793545714, 0.2374325337371015]","0.018,0.253,0.223,0.074,0.059,0.135,0.237",0.8135660950687942,0.8104697455870911,0.7270430107526882,0.7208752542745616,0.7258635961027458,0.7159550070983947,0.46911255076079283,0.5,0.49231182795698925,0.017823420013868052,0.25306545834896155,0.22349140494353895,0.07407836147170986,0.05946983354936296,0.13463898793545714,0.2374325337371015
162,"[0.2718886110236472, 0.38266573517074415, 0.03405620410473117, 0.046879957188533064, 0.22885297542810767, 0.03413052612853278, 0.0015259909557040548]","0.272,0.383,0.034,0.047,0.229,0.034,0.002",0.9802299471037113,0.9804555368415692,0.9181720430107527,0.9165204036858271,0.9210671370300959,0.9120183386093221,0.5252421660345488,0.5,0.49252688172043013,0.2718886110236472,0.38266573517074415,0.03405620410473117,0.046879957188533064,0.22885297542810767,0.03413052612853278,0.0015259909557040548
